ITEM1C,ITEM2AD,ITEM3M,ITEM4AD,ITEM5C,ITEM6M,ITEM7A,ITEM8A,ITEM9C,ITEM10AD,ITEM11M,ITEM12AD,ITEM13M,ITEM14C,ITEM15A,ITEM16C,ITEM17A,ITEM18M,ITEM19AD
4,1,0,0,3,2,3,0,4,0,2,1,0,3,2,3,1,2,1
4,0,4,0,4,4,4,2,4,0,4,0,4,4,2,4,4,4,2
3,2,4,0,4,4,2,2,3,3,2,1,3,4,2,3,4,4,2
4,2,2,3,3,3,0,2,3,4,2,2,2,3,0,4,1,3,2
3,3,2,0,4,1,2,0,4,4,0,3,0,4,0,4,1,2,2
3,3,1,1,1,4,0,4,1,4,2,2,2,4,2,3,2,2,2
4,2,2,1,3,4,2,2,3,2,3,2,3,3,2,2,1,2,2
4,4,3,4,3,1,0,2,0,4,0,4,0,2,0,3,2,3,4
4,4,0,4,1,0,0,0,0,4,0,4,0,2,0,3,0,0,4
2,3,1,4,4,0,2,1,2,3,3,2,3,2,3,2,3,3,2
3,4,2,3,4,1,3,1,3,4,4,3,4,3,4,3,4,4,3
4,4,2,0,4,1,2,0,4,2,0,3,0,4,0,4,0,0,4
4,2,2,1,3,4,2,2,3,2,3,2,3,3,2,2,1,2,2
4,0,0,1,3,0,2,0,3,0,0,2,0,1,0,4,0,0,2
3,1,3,0,2,2,3,1,3,2,2,2,2,2,3,3,3,4,2
3,4,2,3,3,1,3,0,3,3,1,3,0,4,0,3,0,1,3
3,4,2,3,3,1,3,1,3,3,1,3,0,4,0,3,0,1,3
2,1,1,0,3,1,1,1,3,3,1,4,0,4,0,2,1,0,3
2,1,1,0,3,1,1,1,3,3,1,4,0,4,0,2,1,0,3
4,2,2,0,4,4,1,4,4,0,2,2,1,4,0,4,2,2,2
2,0,1,1,3,4,2,1,0,3,1,3,0,3,1,3,2,1,3
2,0,0,0,3,3,3,3,0,0,2,1,1,2,3,3,3,2,2
2,0,0,0,3,3,3,3,0,0,2,1,1,2,3,3,3,2,2
2,3,1,0,3,1,3,1,4,2,1,3,1,4,0,3,0,1,3
2,3,1,0,3,1,3,1,4,2,1,3,1,4,0,3,0,1,3
4,2,2,1,3,4,2,2,3,2,3,2,3,3,4,3,4,4,3
2,1,1,0,3,1,1,1,3,3,1,4,0,4,0,2,1,0,3
2,1,1,0,3,1,1,1,3,3,1,4,0,4,0,2,1,0,3
3,3,2,0,4,1,2,0,4,4,0,3,0,4,0,4,1,2,2
2,3,1,0,2,1,1,1,2,2,0,3,1,2,0,4,1,1,3
1,2,0,0,1,0,0,0,1,1,0,2,0,1,0,3,0,0,2
1,3,0,4,3,0,0,0,3,3,0,3,0,0,0,0,0,0,3
2,4,0,4,4,0,0,0,0,4,0,4,0,1,0,0,0,0,4
2,4,0,2,4,1,1,0,4,2,0,3,0,2,0,3,0,0,3
2,4,0,4,2,1,0,0,2,4,0,2,0,3,0,4,0,0,4
1,1,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,1
2,2,0,4,4,2,0,3,2,1,0,1,0,1,0,1,0,0,2
4,4,0,4,4,0,0,2,4,3,4,0,4,4,0,4,0,0,3
3,3,0,3,4,0,0,0,4,2,0,4,0,2,0,4,0,0,4
2,4,0,2,4,1,1,0,4,2,0,3,0,2,0,3,0,0,3
1,1,1,2,1,0,0,0,1,4,3,1,0,1,3,1,0,0,1
2,4,0,4,2,1,0,0,2,4,0,2,0,3,0,4,0,0,4
4,4,4,2,4,0,0,0,3,4,2,3,2,4,0,0,0,0,3
1,0,0,3,0,0,1,2,2,2,0,3,0,0,2,1,0,0,1
2,1,0,4,1,0,2,3,3,3,0,4,0,1,3,2,0,0,2
4,1,4,2,0,3,4,1,3,0,4,2,3,4,0,2,2,2,2
4,4,2,2,4,0,0,0,4,4,2,2,0,3,0,4,0,0,2
3,4,2,3,3,0,0,0,3,4,0,4,0,1,0,4,0,0,4
3,4,0,4,2,0,0,0,3,4,2,2,0,2,0,2,0,0,2
4,3,1,1,3,0,2,1,3,2,0,3,0,0,0,3,0,0,2
4,1,2,0,2,1,2,4,4,1,2,4,2,0,2,3,2,0,3
4,1,3,1,2,2,1,2,3,4,3,1,3,2,0,0,0,3,3
2,1,3,1,3,1,3,4,0,3,2,2,1,0,2,1,0,2,1
4,2,4,2,1,2,2,1,3,1,1,2,2,0,0,1,0,0,3
4,3,0,4,2,0,0,4,4,4,0,2,0,3,0,4,4,2,4
2,3,0,3,2,0,0,4,4,4,0,4,0,3,0,4,4,0,3
4,3,0,2,2,0,0,1,0,0,0,2,0,3,0,4,4,3,0
3,4,1,0,3,3,0,0,2,4,2,2,3,1,2,4,2,0,0
3,4,3,2,3,3,3,2,3,2,3,3,1,3,2,3,3,3,3
4,3,3,2,3,2,3,2,3,2,4,4,2,4,2,4,2,2,4
4,4,2,1,3,2,3,1,3,1,3,2,4,3,1,2,3,3,3
4,3,2,2,3,2,3,3,4,1,2,3,3,4,1,3,2,2,2
3,4,2,2,4,3,4,2,3,2,3,1,4,3,1,4,2,2,4
4,1,2,1,3,1,3,2,4,1,4,3,3,4,2,3,2,4,2
3,1,3,1,4,3,4,3,3,2,3,1,1,4,1,3,3,3,3
4,2,3,0,3,3,3,1,4,3,3,2,1,3,0,3,3,3,2
3,1,1,4,4,1,4,1,3,2,2,3,3,2,3,4,2,4,3
4,3,1,3,3,3,3,2,4,3,2,2,2,2,2,3,1,3,2
3,1,0,4,4,2,3,1,3,2,2,2,2,2,1,2,1,2,3
3,4,3,3,3,2,2,2,4,3,3,4,3,1,2,2,1,3,4
3,4,0,3,1,1,2,3,3,3,2,2,1,4,0,4,4,1,2
3,4,0,3,1,2,2,2,4,2,1,2,2,3,3,2,3,2,3
3,1,1,1,2,3,2,1,2,3,1,0,2,3,2,3,2,1,4
4,3,1,1,3,2,4,1,4,2,1,1,1,4,3,2,2,2,3
4,3,3,1,3,3,3,0,3,3,3,2,2,2,1,3,1,4,3
3,1,3,2,3,2,2,0,4,1,2,3,4,3,1,2,3,3,4
4,3,1,2,4,3,4,1,3,1,1,0,2,4,0,2,1,2,3
3,0,3,2,3,2,2,0,4,2,2,0,1,3,1,2,1,1,2
4,3,1,1,2,2,4,1,2,3,1,3,2,2,2,3,2,4,2
3,3,1,2,2,2,3,0,3,2,0,2,1,2,0,4,1,0,3
4,4,3,1,3,2,3,0,3,3,2,3,2,3,3,3,3,2,2
4,3,3,2,2,3,4,1,3,3,0,3,1,4,2,3,2,0,3
3,4,3,2,2,2,3,1,4,3,2,1,4,3,0,2,3,0,2
3,3,3,2,1,2,2,0,3,2,1,4,2,2,3,2,1,3,2
4,1,3,1,3,3,3,3,4,3,0,4,2,2,3,4,2,0,3
4,4,1,2,3,2,4,2,3,3,3,2,3,3,2,4,3,0,3
3,1,3,2,4,3,4,2,4,2,3,1,3,4,1,3,1,2,3
3,2,3,1,3,2,3,1,4,1,2,1,1,4,2,2,3,3,2
1,4,1,4,3,1,1,3,2,4,2,4,1,2,1,2,1,2,3
2,3,2,3,2,1,2,2,1,3,1,3,2,3,0,1,0,1,2
3,3,2,3,3,2,1,2,3,4,0,4,2,2,0,2,1,2,4
3,3,3,3,2,1,2,2,2,3,0,3,1,2,1,3,1,2,3
3,3,2,3,2,2,1,1,1,4,1,3,1,1,1,1,0,3,2
2,3,1,3,2,2,2,1,3,3,2,3,1,0,0,1,1,2,4
3,3,1,4,2,2,2,3,2,4,1,4,0,2,1,2,0,3,3
2,3,2,3,3,1,2,1,2,4,0,3,1,3,0,1,1,2,2
2,4,1,3,2,2,2,3,1,4,0,3,1,2,1,3,1,2,3
1,4,2,4,3,3,2,1,2,4,1,4,0,0,0,1,0,3,4
1,4,1,2,2,2,1,2,2,4,0,3,1,0,1,0,1,2,2
0,3,2,3,3,3,1,1,3,3,1,3,1,1,0,2,1,1,2
0,4,2,4,2,2,1,2,2,3,2,4,0,2,1,0,0,1,3
3,3,1,3,1,1,1,1,2,3,0,3,2,0,0,2,1,2,4
0,3,2,2,1,2,0,1,3,4,0,3,2,2,1,0,1,0,3
3,3,2,3,1,1,2,1,3,3,1,3,0,1,0,2,0,1,2
2,4,1,4,3,3,2,2,2,4,0,4,2,2,1,2,1,2,3
2,2,2,3,2,2,0,1,1,4,1,3,1,0,1,0,1,0,4
2,2,1,2,2,2,0,2,3,4,2,3,2,3,1,1,0,0,3
0,2,2,3,3,1,0,1,2,3,0,3,0,2,1,1,0,1,4
0,4,0,3,2,1,2,2,1,4,1,4,3,3,2,1,1,2,3
2,3,3,3,1,3,0,1,2,4,2,2,4,2,2,0,0,0,2
2,3,0,3,1,2,0,3,3,3,0,2,3,1,0,1,0,0,2
1,4,0,4,3,3,2,3,2,2,1,3,2,0,2,0,0,1,3
0,3,0,3,2,2,1,2,1,3,2,3,0,1,0,1,1,2,2
2,4,2,3,3,2,3,2,2,4,0,2,1,2,2,0,0,0,2
3,3,1,3,1,1,3,1,3,3,0,2,2,0,2,1,1,1,3
1,4,3,4,2,1,1,2,3,4,1,2,0,2,2,0,2,2,2
3,2,2,2,3,2,2,2,3,3,1,3,2,3,1,3,0,1,2
2,2,3,1,2,3,2,0,3,2,3,2,1,3,3,3,1,3,3
3,3,0,0,4,0,0,0,3,3,0,3,0,3,0,3,0,0,3
